,store,address,phone,store_open
103,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
104,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
105,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
106,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
107,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
108,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
109,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
110,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
111,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
112,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
113,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
114,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
115,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
116,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
117,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
118,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
119,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
120,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
121,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
122,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
123,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
124,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
125,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
126,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
127,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
128,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
129,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
130,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
131,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
132,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
133,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
134,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
135,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
136,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
137,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
138,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
139,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
140,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
141,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
142,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
143,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
144,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
145,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
146,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
147,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
148,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
149,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
150,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
151,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
152,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
153,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
154,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
155,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
156,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
157,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
158,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
159,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
160,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
161,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
162,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
163,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
164,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
165,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
166,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
167,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
168,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
169,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
170,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
171,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
172,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
173,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
174,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
175,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
176,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
177,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
178,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
179,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
180,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
181,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
182,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
183,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
184,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
185,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
186,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
187,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
188,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
189,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
190,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
191,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
192,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
193,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
194,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
195,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
196,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
197,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
198,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
199,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
200,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
201,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
202,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
203,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
204,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
205,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
206,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
207,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
208,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
209,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
210,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
211,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
212,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
213,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
214,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
215,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
216,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
217,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
218,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
219,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
220,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
221,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
222,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
223,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
224,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
225,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
226,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
227,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
228,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
229,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
230,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
231,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
232,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
233,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
234,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
235,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
236,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
237,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
238,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
239,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
240,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
241,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
242,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
243,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
244,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
245,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
246,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
247,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
248,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
249,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
250,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
251,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
252,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
253,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
254,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
255,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
256,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
257,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
258,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
259,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
260,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
261,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
262,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
263,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
264,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
265,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
266,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
267,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
268,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
269,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
270,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
271,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
272,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
273,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
274,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
275,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
276,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
277,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
278,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
279,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
280,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
281,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
282,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
283,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
284,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
285,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
286,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
287,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
288,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
289,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
290,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
291,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
292,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
293,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
294,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
295,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
296,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
297,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
298,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
299,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
300,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
301,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
302,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
303,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
304,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
305,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
306,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
307,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
308,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
309,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
310,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
311,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
312,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
313,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
314,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
315,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
316,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
317,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
318,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
319,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
320,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
321,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
322,해운대4호점,부산 해운대구 대천로 92-6 1층(좌동),051)702-8592,2019-11-06
323,독립문역점,서울 종로구 통일로 230 ,02)3210-3392,2019-11-05
324,길동점  ,서울 강동구 진황도로 119 1층 101호,02-6952-9289,2020-10-14
325,대화역점  ,경기 고양시 일산서구 중앙로 1581 105호,031-925-0423,2020-09-15
326,의정부 호원점  ,경기 의정부시 평화로 193-1 1층,031-837-8292,2020-07-27
327,화전우방점,부산 강서구 화전산단4로 74 211동 110호,051-831-8592,2020-06-30
328,부산대점,부산 금정구 부산대학로38번길 23 1층,051-515-8592,2020-06-24
329,망미점,부산 수영구 망미로22번길 49 1층,051-754-8293,2020-04-28
330,용원2호점,경남 창원시 진해구 용원로102번길 5 ,055-547-7992,2020-04-22
331,장기점,대구 달서구 장기로 252 1층,053-527-9992,2019-12-18
332,대현점,대구 북구 대현로 102 ,053-955-2229,2019-12-01
333,범어점,경남 양산시 물금읍 범어1길 8 1층 101호,055-366-8592,2019-11-28
