,store,address,phone
48,광주운암점,"광주광역시 북구 북문대로  141, 1층 102호(운암동, 금호아파트상가)",062-433-6723
49,광주월곡점,"광주광역시 광산구 사암로 286,1층(월곡동)",062-451-3344
50,광주일곡점,"광주광역시 북구 설죽로 505, 104호(일곡동,부민빌딩)",062-574-0058
51,광주임동점,광주광역시 북구 서림로 99-2(임동),062-511-6402
52,광주진월점,"광주광역시 남구 서문대로 686,1층 105호",062-652-7891
53,광주풍암점,"광주광역시 서구 풍암2로 16-1,1층(풍암동)",062-655-5558
54,광주학동점,광주광역시 동구 학동 868-4 해피뷰삼성메디타워,062-226-0202
55,광주화정점,광주광역시 서구 화운로 25,062-352-8900
56,광주효천점,"광주광역시 남구 효천2로 28, 101호(임암동, 건우빌딩)",062-652-3863
57,구리점,경기도 구리시 경춘로 218-5(수택동),031-564-9920
58,구미봉곡G7점,경상북도 구미시 야은로296 (봉곡동 지하1),054-604-9700
59,구미상모점,경상북도 구미시 상모동 68-3번지(상사서로 52),054-463-4855
60,구미원호점,"경상북도 구미시 고아읍 문장로26길 3,114호(낙원프라자)",070-8249-1711
61,구미점,"경상북도 구미시 문화로 14(원평동, 1층)",054-442-3179
62,구미형곡점,경상북도 구미시 형곡동로 93(형곡동),054-455-0023
63,구산점,경상남도 김해시 구산동 290-1,055-326-6112
64,구평점,경북 구미시 인동36길 24-2,070-4151-0045
65,군산나운점,"전라북도 군산시 하나운로 71-1,102호(나운동)",063-465-9485
66,군산수송점,"전라북도 군산시 수송로214, 102호(수송동, 정동빌딩)",063-467-1338
67,군산점,전라북도 군산시 중앙로 159(중앙로 1가),063-442-7088 
68,군위점,경상북도 군위군 군위읍 중앙길 99,054-383-7828
69,군포점,경기도 군포시 당정동 970-9 당정메디컬빌딩 1층 102호,031-427-0933
70,금왕점,충청북도 음성군 금왕읍 무극로 285번길 3,043-877-0740
71,금호동점,서울특별시 성동구 금호동 3가 412 1층,02-2236-9771
72,길동시장점,"서울특별시 강동구 천호대로 187길 74 109(길동,길동우성아파트상가동)",02-489-0304
73,김천역점,경상북도 김천시 김천로 108-2,054-439-0282
74,김천하나로점,"경북 김천시 자산로147(평화동), 김천농협하나로마트 내",054-437-7223
75,김포장기점,"경기도 김포시 김포한강4로 118,1층 106호(장기동)",070-8875-5210 
76,김해내외점,"경상남도 김해시 함박로 101번길 22,112호(외동,삼우빌딩)",055-323-4888
77,김해삼계점,경남 김해시 삼계동 1466-1번지,055-313-7155
78,김해서상점,"경상남도 김해시 가락로 82,101호(서상동)",055-324-8896
79,김해인제대점,경상남도 김해시 인제로 193(어방로),055-326-6280
80,김해장유점,경상남도 김해시 능동로 167번길 1,055-331-0005
81,김해진영점,경상남도 김해시 진영읍 여래리 700-33 ,055-343-6669
82,나주혁신도시점,"전라남도 나주시 전력로6, 1동 105호",061-333-3558 
83,남목점,울산광역시 동구 동해안로 31-2(동부동),052-297-1114
84,남성역점,서울특별시 동작구 사당로 16가길 26 (사당동),02-3473-5547
85,남양주덕소점,경기도 남양주시 와부읍 덕소리 473-8,031-576-7600
86,남양주마석점,경기도 남양주시 화도읍 마석중앙로 마석중앙로 63-1,031-559-1017
87,남양주점,경기 남양주시 진접읍 장현로 77(장현프라자128호),031-571-7172
88,남양주평내점,경기도 남양주시 경춘로 1256번길 10,031-594-1435
89,남지점,경상남도 창녕군 남지읍 낙동로 508,055-521-0210
90,남포1호점,부산광역시 중구 광복로 44(창선동1가),051-245-4393
91,남포지하상가점,부산광역시 중구 남포동1가 15 부산지하철남포동역내,051-255-4393
92,노원점,서울특별시 노원구 상계동 599번지 1층 2,02-3391-9159
93,노은점,"대전광역시 유성구 은구비남로 33번길 56, 102호",042-824-1207
94,녹두거리점,"서울특별시 관악구 대학5길 8, 1층(신림동)",02-872-7477
95,다대점,부산광역시 사하구 다대동 920-2,051-261-7131
96,다문화거리점,"경기도 안산시 단원구 다문화길 15, 104(원곡동)",031-495-0458
97,다사점,"대구광역시 달성군 다사읍 달구벌대로 875, 1층 109호(엠에이프라자)",053-592-7274
98,달서용산점,"대구광역시 달서구 용산로 229,107호(용산점)",053-523-3025
99,답십리점,서울특별시 성동구 용답중앙 15길 4,02-2214-2207
100,당진점,충청남도 당진시 읍내동 224-4 진원스타타워 1층 112호,041-356-7932
101,대곡역점,대구광역시 달서구 비슬로 2716(대곡동),053-636-1537
102,대구대곡점,"대구광역시 달서구 도원로 30, 111호(도원동,대곡프라자)",053-631-9915
103,대구월성점,"대구광역시 달서구 조암로 25,103호(월성동)",053-632-5558
104,대동창원점,"경상남도 창원시 성산구 원이대로 730 (상남동, 창원 대동백화점 내)",055-212-8600
105,대림중앙시장점,서울특별시 영등포구 디지털로 53길 15(대림동),02-6203-9326
106,대전가오점,"대전광역시 동구 동구청로 101,107호(가오동,세이프존)",042-271-1533
107,대전대점,"대전광역시 동구 용운로 150, 1층(용운동)",042-284-2384
108,대전유성점,"대전광역시 유성구 계룡로 44, 1층(봉명동)",042-823-5647
109,대전은행점,"대전광역시 중구 대종로 488번길 25(은행동,1층)",042-223-0707
110,대전터미널점,"대전광역시 동구 동서대로 1679, 102호(용전동,외필지1층)",042-621-9307
111,대현점,대구광역시 북구 신암로 101(대현동),053-742-0607
112,동광양하나로점,전라남도 광양시 공영로 25(중동),061-791-4955
113,동두천중앙점,"경기도 동두천시 중앙로 259 (생연동,구터미널앞미래빌딩)",031-858-8522
114,동두천지행점,"경기도 동두천시 지행로  56,107호(지행동,스타월드타워)",031-868-8522
115,동부시장점,서울 중랑구 망우로 32길 12 (상봉동),02-438-1799
116,동서대점,부산광역시 사상구 가야대로 366번길 4(주례동),051-326-8002
117,동성로점,대구광역시 중구 동성로 33-2 (동성로2가),053-256-2259
118,동울산시장점,울산광역시 동구 진성 14길 92(전하동),052-233-7770
119,동인천점,"인천광역시 중구 인현동 1 중앙로지하상가 107, 109, 111호",032-766-0302
120,두류점,대구광역시 서구 달구벌대로 1760 두류1번가 B열 31호 (내당동),053-657-9757
121,등촌시장점,서울특별시 양천구 목3동 613-5,02-2644-6198
122,마들점,"서울특별시 노원구 동일로 1542 102(상계동,상계주공아파트12단지종합상가제1층)",02-932-7632
123,마산 내서점,경상남도 창원시 마산회원구 내서읍 10(중앙상가 1층 101호),055-232-2072
124,마산진동점,경상남도 창원시 마산합포구 진동면 삼진의거대로 642,055-271-6751
125,마산창동점,경상남도 창원시 마산합포구 창동거리길 35(창동),055-223-9668
126,마산합성동점,경상남도 창원시 마산회원구 합성옛길 142 (합성동),055-255-8992
127,마산호계점,경상남도 창원시 마산회원구 내서읍 호계본동로 5,055-231-6681
128,마장동점,"서울특별시 성동구 고산자로 341(마장동, 1층)",02-2295-5521
129,마천점,서울특별시 송파구 마천동 129-1 1층 101호,02-400-4484
130,만성점,전라북도 전주시 덕진구 만성중앙로 56. 1동 103호,063-905-2000
131,망원점,"서울특별시 마포구 월드컵로13길 45, 1층(망원동)",02-335-1377
132,목원대점,"대전광역시 서구 도안북로 95, 105호(도안동,씨티타워)",042-823-5525
133,목포하당점,"전라남도 목포시 장미로 38, 1층 101호(상동)",061-282-2764
134,문경점,경상북도 문경시 중앙시장1길 2-1(점촌동),054-556-1223
135,물금점,"경상남도 양산시 물금읍 범어로 60, 1층 104호(청암프라자)",055-388-7117
136,밀양점,경상남도 밀양시 석정로 18-1(내일동),055-356-6646
137,반석점,"대전광역시 유성구 반석동로 51,1층 107호(반석동)",042-822-6998
138,반여점,부산광역시 해운대구 선수촌로 105-2 (반여동),051-529-8550
139,반포지하상가점,서울특별시 서초구 신반포로 지하200(강남터미널지하쇼핑몰 D-57호),02-599-0030
140,방이점,서울특별시 송파구 백제고분로48길 22,02-421-5507
141,방촌시장점,대구광역시 동구 동촌로 228 (방촌동),053-981-5589
142,방학점,서울특별시 도봉구 도봉동 611-26 1층,02-956-4533
143,방화점,"서울특별시 강서구 양천로 72(방화동, 1층)",02-2662-1332
144,병방시장점,"인천광역시 계양구 병방시장로 73 2-104(병방동,아주아파트상가동1층",032-547-0770
145,보령점,충청남도 보령시 중앙로 73 (대천동),041-936-8871
146,보은점,충청북도 보은군 보은읍 삼산로 25-1,043-543-7939
147,봉천점,서울시 관악구 남부순환로 1737(봉천동),02-877-0181
148,부사동점,대전광역시 중구 대종로 299-1 (부사동),042-223-5647
149,부산가야점,"부산광역시 부산진구 대학로 11,1층(가야동)",051-898-4352
150,부산기장시장점,부산광역시 기장군 기장읍 차성동로 64,051-722-9200
151,부산기장점,부산광역시 기장군 기장읍 읍내로 108,051-723-6559
152,부산대연못골점,부산광역시 남구 수영로 197 ( 대연동.1층),051-612-6069
153,부산명지점,"부산광역시 강서구 명지오션시티11로 74,108호(명지동,오션타워)",051-202-7772
154,부산반송점,"부산광역시 해운대구 아랫반송로 32-1,1층(반송동)",051-542-6559
155,부산사직점,부산광역시 동래구 사직동 45-18,051-552-7757
156,부산신호점,"부산광역시 강서구 신호산단2로 33,102호(신호동,골든뷰)",051-972-6627
157,부여점,"충청남도 부여군 부여읍 중앙로5번길 15-1, 1층",041-837-8090
158,분당서현점,"경기도 성남시 분당구 서현로 210번길 14(서현동, 유성트윈프라자 1)",031-709-9992
159,비래점,대전광역시 대덕구 비래동 126-23,042-622-7932
160,사가정점,"서울특별시 중랑구 면목로 344-1, 1층",02-433-1911
161,사천벌리동점,경상남도 사천시 주공로 16(벌리동),055-835-1771
162,사천점,경상남도 사천시 사천읍 읍내로 14-1,055-852-7677
163,산업대점,"서울특별시 노원구 공릉로 196, 1층(공릉동)",02-949-3878
164,산청점,경상남도 산청군 산청읍 덕계로 21,055-972-7786
165,삼정그린빌점,대구광역시 달서구 야외음악당로 39동길31(두류동),053-657-6565
166,삼척도계점,강원도 삼척시 도계읍 도계강변길 23,033-541-6751
167,삼척점,강원도 삼척시 남양동 55-93 102호,033-573-5450
168,서남시장점,"대구광역시 달서구 달구벌대로 329길 10, 1층(감삼동)",053-567-5078
169,서동점,"부산광역시 금정구 서동로 148, 1층(서동)",051-524-6751
170,서부정류장점,대구광역시 달서구 월배로 485(송현동),053-622-6751
171,서산점,"충청남도 서산시 시장6로 33,101호(동문동)",041-669-0007
172,서산터미널점,충청남도 서산시 동문동 307-1,041-663-0061
173,서재점,대구광역시 달성군 다사읍 서재로 119,053-592-0308
174,서천점,"충청남도 서천군 서천읍 서천로 147, 105호(하영프라자)",041-952-6751
175,석계점,"서울특별시 노원구 석계로3길 3, 1층 103호(월계동)",02-909-0540
176,석적점,"경상북도 칠곡군 석적읍 유학로 36, 1층 3호",054-791-8864
177,석전점,경상남도 창원시 마산회원구 석전동 6길 2,055-253-0536
178,선산점,경상북도 구미시 선산읍 남문로 23,054-482-0365
179,성당시장점,대구광역시 남구 성당로 194 (대명동),053-625-6751
180,성서용산점 ,대구광역시 달서구 성지로 68(용산동),053-581-5633 
181,성수점,"서울특별시 성동구 아차산로7길 8(성수동2가,1층)",010-2688-0545
182,성환점,충청남도 천안시 서북구 성환읍 성환11길 37(1층),041-585-6634
183,세이백화점대전점,대전시  중구 계룡로 1700 세이백화점 TWO 지하1층,070-4126-0307
184,소답점,경상남도 창원시 의창구 읍성로  51 (중동),055-253-6685
185,속초점,강원도 속초시 금호동 479-3,033-636-5334
186,송탄출장소점,경기도 평택시 특구로 24(서정동),031-663-4206
187,송파점,서울특별시 송파구 석촌동 295-11,02-3432-7080
188,수락점,"서울시 노원구 동일로 1689(상계동,하이베라스 상가 101-1)",02-930-1078
189,수영점,부산광역시 수영구 수영로  705번길7(수영동),051-753-1023
190,수완점,"광주광역시 광산구 임방울대로 334, 1층(수완동, 노블메디칼센터)",062-962-9970
191,수원정자점,경기도 수원시 장안구 정자동 74-33 1층,031-242-2932
192,수원하나로마트점,수원시 권선구 서부로 1937 수원하나로마트 1층,031-292-2126
193,수유리점,서울특별시 강북구 도봉로 339,02-992-3721
194,수지상현점,"경기도 용인시 수지구 만현로 110,B동114호(상현동,외6필지 원희캐)",031-272-5631
195,순천신대점,전라남도 순천시 해룡면 좌야로 150 상가 711동 125호(중흥에코시티7단지),061-722-1228
196,순천연향점,"전라남도 순천시 연향중앙상가길 19(연향동, 2호)",061-725-3651
197,시화로데오점,"경기도 시흥시 중심상가3길 9, 101(정왕동,청진프라자)",031-497-6909
198,시흥능곡점,"경기도 시흥시 승지로 58, 103호(능곡동,태영프라자)",031-315-0531
199,시흥동점,서울특별시 금천구 금하로 632(시흥동),02-805-5902
200,신관동점,"충청남도 공주시 신금2길 27, 1층 3호",041-855-5156
201,신내점,"서울시 중랑구 신내로 82 (신내동, 신내14차 금강프라자 112",02-435-7435
202,신당동점,"서울특별시 중구 퇴계로 76길 33,외 1(무학동)",02-2231-8747
203,신대방점,서울특별시 관악구 신림동 517-56,02-869-3300
204,신도림테크노마트,"서울특별시 구로구 새말로 97(구로동,신도림테크노마트1층 F01)",02-2111-1107
205,신철원점,강원도 철원군 갈마읍 삼부연로 9,033-452-5261
206,신탄진점,"대전광역시 대덕구 신탄진로 815, 1층(신탄진동)",042-936-4203
207,쌍촌점,광주광역시 서구 상일로 46(쌍촌동),062-385-1585
208,아산온양점,"충청남도 아산시 온궁로 24(온천동,1층)",041-531-5574
209,아주대점,"경기도 수원시 팔달구 중부대로 245, 102호(우만동)",031-212-2181
210,안강점,경상북도 경주시 안강읍 비화원로 79,054-763-0032
211,안동옥동점,경북 안동시 경북대로 433 매트로상가 1층,054-853-3144
212,안산원곡점,"경기도 안산시 단원구 라성로 48(원곡동, 보성상가 104호)",031-405-6225
213,안산초지점,"경기도 안산시 단원구 초지로 114, 108호 (초지동, 주공프라자)",031-403-7162
214,안산한대역점,"경기도 안산시 상록구 중보로 49, 1층 113호(이동,숭실프라자)",031-406-0589
215,안성공도점,"경기도 안성시 공도읍 공도4로  11,1동-101(예일상가)",031-691-6634
216,안성점,경기도 안성시 중앙2길 14(대천동),031-671-3807
217,안양관양점,경기도 안양시 동안구 관평로 328,031-476-5526
218,안지랑점,대구광역시 남구 대명로 170(대명동),053-655-3530
219,약수점,"서울특별시 중구 다산로 126,1층(신당동)",02-2216-5003
220,양산덕계점,경상남도 양산시 덕계로 80(덕계동),055-363-0209
221,양산점,"경상남도 양산시 양산역1길 22, 101호(중부동,위너스타워)",055-365-8118
222,양양점,강원도 양양군 양양읍 양양로 56,033-671-2298
223,양주고읍점,"경기도 양주시 고읍남로 15,108호(광사동,마들프라자)",031-848-0489
224,양주덕계점,경기도 양주시 덕계동 694 리치마트내 화장품,031-857-6898
225,양평점,경기도 양평군 양평읍 양평시장길 20-2,031-774-3044
226,언양점,울산광역시 울주군 언양읍 남부리 141,052-263-4556
227,엄궁점,부산광역시 사상구 엄궁북로 10(엄궁동),051-316-7688
228,여수여서점,전라남도 여수시 여서1로 80(여서동),061-652-1120
229,여수점,전남 여수시 진남상가길 42-1(교동),061-662-6432
230,여주가남점,경기도 여주시 가남읍 태평2길 33,031-882-0660
231,여주점,경기도 여주시 세종로 14번길 28(하동),031-886-2938
232,여주하나로점,경기도 여주시 강변북로 50(오학동)  여주하나로마트 1층,031-886-2937
233,영덕점,경상북도 영덕군 영덕읍 중앙길 103,054-734-7345
234,영등포지하상가점,"서울특별시 영등포구 영중로 지하20, 로터리지하상가 44,45호",02-2631-1160
235,영월점,강원도 영월군 영월읍 중앙로 22,033-373-3255
236,영천언하점,경상북도 영천시 언하공단로 83. 103호(망정동),054-338-6599
237,영해점,경상북도 영덕군 영해면 예주시장길 33,054-732-3188
238,예산점,충청남도 예산군 예산읍 예산로 202번길 3,041-334-1556
239,오산점,"경기도 오산시 원동로 7번길 35, 1층(원동)",031-372-6290
240,오창화학점,충청북도 청주시 흥덕구 옥산면 남촌리 1114-1 LG화학오창공장 광학2동 3층내,043-266-2470
241,옥천점,충청북도 옥천군 옥천읍 중앙로 48-2,043-732-6751
242,온산점,울산광역시 울주군 온산읍 덕신로 259,052-238-6751
243,외동점,경상북도 경주시 외동읍 입실로65 ,054-775-7767
244,용원점,"경상남도 창원시 진해구 안골로 348, 109호(용원동,용원그랜드쇼핑제1)",055-542-9005
245,용인점,"경기도 용인시 처인구 금령로90번길 1(김량장동,1층)",031-322-4915
246,용현동점,인천광역시 미추홀구 낙섬중로 42-2(용현동),032-882-8262
247,울산구영점,"울산광역시 울주군 범서읍 점촌3길 8-15,125호(지에스프라자)",052-248-2247
248,울산삼산점,울산광역시 남구 삼산중로 74번길 6,052-274-3397
249,울산세이브존점,울산시 남구 번영로 250번길9 세이브존 1층,052-261-2778
250,울산신정점,울산시 남구 신정동 619-16 ,052-271-0098
251,울산온양점,"울산광역시 울주군 온양읍 대안리 400-1, 대안상가 101호",052-239-6751
252,울산천곡점,울산광역시 북구 천곡동 410-23 1층,052-298-3337
253,울산태화점,울산광역시 중구 신기 7길 31(태화동),052-245-3397
254,원주무실점,강원도 원주시 무실동 1855-1 시티프라자 106호,033-747-3775
255,원주문막점,"강원도 원주시 문막읍 왕건로 29,101호",033-746-3044
256,원주중앙점,"강원도 원주시 중앙시장길 11(중앙동, 외4필지 자유시장1층 11-1)",033-742-2198
257,원주하나로점,"강원도 원주시 원일로 233,1층(학성동)",033-746-5745
258,월촌역점,대구광역시 달서구 송현로 36(송현동),053-656-4869
259,유강점,경상북도 포항시 남구 연일읍 유강길17번길 5,054-274-6615
260,유스퀘어점 ,광주광역시 서구 무진대로 904 유스퀘어,062-252-2550
261,음성점,충청북도 음성군 음성읍 수정로 56,043-872-9696
262,의왕부곡점,경기도 의왕시 부곡시장길 29(1층 삼동),031-462-3315
263,의정부민락점,"경기도 의정부시 오목로205번길 35, 1층 112호(민락동, 진산프라자투) ",031-852-8522
264,의정부점,경기도 의정부시 의정부동 170-8,031-821-2408
265,의정부호원점,경기 의정부시 호원동 평화로 230번길 13 우남푸르미아 101동 701호 ,031-876-3675
266,이대스타점,서울특별시 서대문구 이화여대길 34 ,02-362-5635
267,이수점,서울특별시 동작구 사당동 139-88 1층 ,02-535-3358
268,이천점,경기도 이천시 서희로 59번길 13(창전동),031-631-2251
269,익산부송점,전라북도 익산시 부송1로 71 (부송동),063-831-6472
270,익산함열점,전라북도 익산시 함열읍 함열중앙로 16,063-862-0010
271,인천검단점,"인천광역시 서구 완정로 159, 101호(왕길동)",070-4131-4117
272,인천동암점,"인천광역시 부평구 아트센터로 30, 1층 남측점포(십정동)",032-442-0220
273,인천만수시장점,"인천광역시 남동구 만수로  43 (만수동,1층)",032-468-4750
274,인천서창점,인천광역시 남동구 서창동 708-3 서창 비젼프라자,032-465-1711
275,인천신기점,인천광역시 남구 주안동 1315-16 남부상가 6동 14호,032-866-9826
276,인천옥련점,"인천광역시 연수구 독배로40번길 7, 102호(옥련동)",032-831-1279
277,인천제물포점,인천광역시 미추홀구 수봉로 1(숭의동),032-881-1236
278,인천주안점,인천광역시 미추홀구 주안로 지하86 241호,032-872-1228
279,인천학익점,"인천광역시 남구 한나루로 389(학익동, 1층일부)",032-873-1191
280,일산고양점,"경기도 고양시 덕양구 혜음로 21,1층 2호(고양동)",031-962-6977
281,일산시장점,경기도 고양시 일산서구 원일로 74번길 12(일산동),031-975-6560 
282,일산원흥점,"경기도 고양시 덕양구 도래울로 103,107호(도내동, 대영프라자)",031-816-5477
283,일산탄현점,"경기도 고양시 일산서구 산현로 15,108호(탄현동 무광프라자)",031-913-1161
284,일산풍동점,"경기도 고양시 일산동구 숲속마을로 42,104(풍동,에이스타워)",031-907-1458
285,일산후곡점,"경기도 고양시 일산서구 일산로 570,102호(일산동,한성빌딩)",031-922-7900
286,잠실지하상가점,서울특별시 송파구 올림픽로 265 잠실역지하쇼핑센터,02-423-5570
287,장승포점,"경상남도 거제시 능포로 132, 201(능포동)",055-681-7772
288,장전역점,"부산광역시 금정구 금정로 153, 1층 (왼쪽상가, 장전동)",
289,장호원점,경기도 이천시 장호원읍 장감로 85-1,031-643-3044
290,전남광양점,전남 광양시 중동 1639-5 ,061-795-3333
291,전남담양점,"전라남도 담양군 담양읍 중앙로 19,1층",061-383-0921
292,전남대점,"광주광역시 북구 우치로 92,1호(용봉동)",062-268-7891
293,전남무안점,전라남도 무안군 무안읍 불무로 19,070-8818-8550
294,전남영광점,전라남도 영광군 영광읍 중앙로 187,061-351-8572
295,전남완도점,전라남도 완도군 완도읍 중앙길  8-1,061-555-3045
296,전남함평점,전라남도 함평군 함평읍 내교리 201-14(힐링빌딩),061-324-2900
297,전남해남점,전라남도 해남군 해남읍 중앙1로 139,061-535-0661
298,전북고창점,전라북도 고창군 고창읍 중앙로 219,063-563-3044
299,전북대점,전라북도 전주시 덕진구 덕진동1가 1262-30,063-255-7001
300,전북무주점,전라북도 무주군 무주읍 향학로 37,063-322-9221
301,전북부안점,전라북도 부안군 부안읍 번영로 158-1,063-582-8589
302,전북삼례점,전라북도 완주군 삼례읍 동학로 38,063-291-6699
303,전북완주봉동점,"전라북도 완주군 봉동읍 둔산1로 130, 상가동 110호",063-262-5048
304,전북익산점,전라북도 익산시 신동 787-8,063-842-7002
305,전북장수점,"전라북도 장수군 장수읍 구시장길 6-14, 2(전북은행장수지점)",063-352-1838
306,전주동산점,"전라북도 전주시 덕진구 쪽구름로  63-1, 1층 (여의동)",063-211-6011
307,전주모래내점,전라북도 전주시 덕진구 안덕원로 153(인후동2가),063-255-1271
308,전주삼천점,전라북도 전주시 완산구 용리로 144(삼천동1가),063-225-9696
309,전주서곡점,전라북도 전주시 완산구 서곡1길 13-22 (효자동3가),063-251-0035
310,전주서부점,"전라북도 전주시 완산구 홍산남로 56, 101호(효자동2가)",063-278-8818
311,전주서신점,"전라북도 전주시 완산구 당산로 49, 109동1층106호(서산동,제일비사벌)",063-277-4548
312,전주송천점,"전라북도 전주시 덕진구 붓내3길 40 (송천동2가, 외5필지)",063-274-3192
313,전주아중점,"전라북도 전주시 덕진구 석소로 27, 107동 103호(인후동1가)",063-241-8623
314,전주점,전라북도 전주시 완산구 전주객사5길 22-2(고사동),063-283-7110
315,전주평화2호점,전라북도 전주시 완산구 평화18길 23-9(평화동1가)？,063-221-3773
316,전주평화점,"전라북도 전주시 완산구 소대배기로 15, 1층 (평화동2가)",063-221-8318
317,전주혁신점,전라북도 전주시 덕진구 오공로 45 (중동),063-226-9777
318,전주호성점,전라북도 전주시 덕진구 소리로 192(호성동1가),063-245-4548
319,정관점,"부산광역시 기장군 정관읍 정관로 560,104호(마치빌딩)",051-727-7793
320,정선점,강원도 정선군 정선읍 봉양6길 35,033-562-9333
321,제주 삼화점,제주특별자치도 제주시 건주로 33,064-757-8817
322,제주남원점,제주특별자치도 서귀포시 남원읍 남원리 106-5,064-764-4079
323,제주노형하나로마트점,"제주특별자치도 제주시 월광로 77(2층, 노형동 제주시농협하나로유통센터)",064-747-6851
324,제주대정하나로마트점,제주도 서귀포시 대정읍 일주서로 2460 대정하나로마트 내 1층,064-792-8382
325,제주롯데시티점,"제주특별자치도 제주시 도령로 73, 109호(연동,펠리체아파트)",064-712-3639
326,제주성산하나로마트점,제주특별자치도 서귀포시 성산읍 일주동로 4282,064-782-0974
327,제주시청점,"제주특별자치도 제주시 중앙로 218 (이도이동, 남광빌딩)",064-723-2301
328,제주연동점,제주시 연동7길 19,064-748-4424
329,제주외도점,제주특별자치도  제주시 우정로 11길 11(외도1동),064-743-0974
330,제주인제점,제주특별자치도 제주시 고마로 86,064-726-6677
331,제주표선점,제주특별자치도 서귀포시 표선면 표선동서로 234,064-787-1579
332,제주하귀하나로마트점,제주특별자치도 제주시 애월읍 일주서로 7136 (하나로마트 1층매장),064-742-7156
333,제주화북아란점,제주특별자치도 제주시 화북일동 1973-19,064-702-7407
334,제천점,충청북도 제천시 중앙로1가 114-5,043-643-3255
335,조치원점,세종특별자치시 조치원읍 새내로 102,044-865-2228
336,주문진점,강원도 강릉시 주문진읍 작은다리길 16,070-4190-0780
337,중곡제일시장점,서울특별시 광진구 중곡동 229-7호 1층,02-467-1650
